,designer,count
1151,1318320,8
1152,5063941,1
1153,7252008,19
1154,191441,35
1155,1783013,1
1156,4598877,82
1157,142744,15
1158,762055,31
1159,1998123,66
1160,185807,77
1161,3621268,13
1162,919921,1
1163,5023284,9
1164,186973,20
1165,4072701,9
1166,679246,41
1167,9109711,44
1168,6927913,17
1169,62765,8
1170,51565,17
1171,8676,139
1172,8264858,43
1173,8957877,1
1174,3422321,23
1175,5811069,1
1176,6769917,6
1177,6540023,5
1178,2293270,6
1179,5633,149
1180,6250749,2
1181,781640,19
1182,570152,107
1183,88331,374
1184,4741395,6
1185,5743794,3
1186,5862560,506
1187,1903616,4
1188,2662656,6
1189,54606,31
1190,2632540,41
1191,6133942,1
1192,4399439,17
1193,3680343,7
1194,103647,7
1195,47449,53
1196,258324,408
1197,190702,10
1198,1171150,99
1199,10039235,34
1200,396997,104
1201,2390097,14
1202,135681,152
1203,191090,50
1204,49626,1
1205,821540,2
1206,10089742,2
1207,7389327,4
1208,7630825,80
1209,150826,573
1210,1274561,16
1211,6001134,24
1212,1606236,7
1213,2522053,140
1214,7579560,7
1215,9955614,22
1216,1677162,8
1217,759562,11
1218,7017896,10
1219,3664905,146
1220,10946194,16
1221,397080,2
1222,222416,446
1223,3894922,1
1224,5252,313
1225,33484,42
1226,1274554,20
1227,8374824,1
1228,4981,935
1229,350872,2
1230,1025204,226
1231,70089,62
1232,217548,12
1233,1652325,30
1234,344513,28
1235,120254,209
1236,994615,96
1237,48865,1319
1238,728991,13
1239,3523542,118
1240,962994,13
1241,7017895,1
1242,514177,80
1243,341311,29
1244,821757,1
1245,799413,8
1246,1903535,2
1247,2806583,78
1248,5227890,71
1249,2689128,75
1250,5855132,3
1251,7097427,8
1252,128087,1
1253,2746846,170
1254,8333132,7
1255,4856586,19
1256,2443148,88
1257,762802,104
1258,133682,37
1259,430091,118
1260,3766397,64
1261,80347,63
1262,7463343,7
1263,583239,6
1264,10056464,1
1265,291604,193
1266,6033652,86
1267,5810982,3
1268,1391420,265
1269,2049281,7
1270,782137,48
1271,3057,28
1272,211274,105
1273,3739003,293
1274,136969,193
1275,2049709,250
1276,2903871,90
1277,3621261,4
1278,534176,29
1279,1085241,29
1280,38206,108
1281,416330,251
1282,1396832,8
1283,5810979,3
1284,4660799,283
1285,5321185,11
1286,2762,683
1287,124456,16
1288,574542,92
1289,2708807,1
1290,7016245,1
1291,456481,248
1292,1112490,104
1293,10946150,11
1294,307090,132
1295,8296016,3
1296,28077,19
1297,9756180,2
1298,5922249,4
1299,175278,474
1300,219509,4
1301,64575,4
1302,130817,83
1303,396999,10
1304,397001,8
1305,6044807,16
1306,6965366,56
1307,143909,1
1308,3468958,23
1309,284619,6
1310,1300088,75
1311,9341318,13
1312,8901110,16
1313,20052,46
1314,5048092,23
1315,3323394,141
1316,5220381,22
1317,4224,1798
1318,1530727,160
1319,5427464,14
1320,7020,462
1321,6198405,1
1322,1050672,81
1323,838428,23
1324,8509458,5
1325,18252,53
1326,2771178,48
1327,2418397,141
1328,6773945,4
1329,874089,24
1330,305489,1
1331,355061,29
1332,115874,1
1333,1749219,2
1334,707683,2
1335,8860352,17
1336,1702253,30
1337,1187751,30
1338,5589594,79
1339,5089576,17
1340,1005541,1
1341,12871,6
1342,1309897,23
1343,5062782,57
1344,836545,1
1345,793124,74
1346,3824,308
1347,2197240,18
1348,4037972,83
1349,15005,396
1350,5023319,1
1351,8165430,79
1352,3947978,4
1353,8799540,70
1354,6551643,19
1355,5235258,9
1356,4757478,12
1357,4775826,21
1358,635258,15
1359,1730352,6
1360,10320401,14
1361,273603,6
1362,2369,2
1363,4882146,14
1364,4712437,17
1365,126458,79
1366,7463753,32
1367,2654977,1
1368,354420,9
1369,6499124,24
1370,42743,74
1371,8593682,26
1372,5048013,22
1373,176333,1468
1374,16854,28
1375,6414997,80
1376,8295623,15
1377,6769762,38
1378,116122,23
1379,773813,18
1380,128700,1
1381,167258,22
1382,7161570,14
1383,2638322,84
1384,6539253,11
1385,756324,46
1386,6555202,11
1387,458847,2
1388,6485675,155
1389,176305,466
1390,6892891,18
1391,3494668,130
1392,8360,1604
1393,4775808,7
1394,114084,1109
1395,3168448,25
1396,1197953,23
1397,6540397,11
1398,3019991,47
1399,1120,1
1400,3975342,8
1401,5321183,25
1402,7579679,1
1403,59087,31
1404,4535,728
1405,4044013,1
1406,48961,178
1407,72849,42
1408,262278,2
1409,2679776,18
1410,3018287,266
1411,9626720,13
1412,2682710,14
1413,153129,3
1414,6770148,23
1415,4968478,150
1416,8016368,4
1417,6712974,30
1418,3879,842
1419,3661813,1
1420,5915348,21
1421,3192980,5
1422,548416,5
1423,96125,165
1424,10380444,7
1425,6523699,10
1426,3977901,18
1427,25716,40
1428,5833824,1
1429,24139,368
1430,70771,4
1431,696377,45
1432,8369,216
1433,2601907,73
1434,523155,1
1435,181523,3
1436,2770918,36
1437,4248108,20
1438,10343104,8
1439,36364,104
1440,8597734,99
1441,702196,4
1442,8673304,7
1443,8264795,13
1444,3501199,5
1445,51690,5
1446,2721782,540
1447,148432,40
1448,762435,48
1449,32216,3
1450,9539588,82
1451,8520515,51
1452,178642,1
1453,1058460,9
1454,117712,273
1455,5055412,4
1456,81749,28
1457,6709379,8
1458,8307671,111
1459,458996,3
1460,3505345,64
1461,1175963,220
1462,4329766,6
1463,5762998,1
1464,5227872,6
1465,4580711,3
1466,3422320,8
1467,3025166,42
1468,3680270,8
1469,3808,72
1470,5048064,9
1471,1043932,1
1472,6415042,2
1473,4695109,46
1474,5626196,9
1475,7516527,18
1476,61861,36
1477,84636,3
1478,3422319,7
1479,33463,34
1480,8347,303
1481,3802679,79
1482,1684273,13
1483,4186342,62
1484,491870,20
1485,5426176,21
1486,1079005,11
1487,7871307,3
1488,1664,605
1489,1285183,3
1490,6310964,4
1491,96859,182
1492,7045967,83
1493,3063,184
1494,1336923,7
1495,5743969,6
1496,8872731,5
1497,108761,16
1498,3623889,3
1499,3623887,324
1500,1874890,360
1501,114501,10
1502,6641825,4
1503,29159,142
1504,3010,2
1505,6487721,22
1506,397210,25
1507,397018,118
1508,879217,1
1509,72135,2
1510,3004953,17
1511,5406393,12
1512,3696,4
1513,9372210,49
1514,1686633,1
1515,3582444,1
1516,14043,46
1517,7692,2
1518,18087,5
1519,1822353,805
1520,3539540,4
1521,189866,3
1522,365077,1
1523,7846100,3
1524,133187,18
1525,1684264,1
1526,39522,1
1527,1133146,24
1528,12310,1
1529,3433710,4
1530,1205035,575
1531,37220,228
1532,1226844,6
1533,4512305,7
1534,2758168,2
1535,241716,56
1536,4808999,22
1537,5933525,19
1538,6198471,4
1539,189904,33
1540,4712649,176
1541,3671992,18
1542,220860,9
1543,5966986,12
1544,5578566,6
1545,115699,141
1546,10039236,7
1547,2080,83
1548,6539081,2
1549,8034,26
1550,10029753,10
1551,81866,1
1552,1434004,10
1553,67048,690
1554,4484245,98
1555,125184,31
1556,584394,17
1557,4183479,10
1558,6555236,33
1559,5039881,30
1560,12842,1127
1561,3947885,90
1562,92777,6
1563,12822,25
1564,50667,14
1565,92791,190
1566,100965,131
1567,279695,199
1568,2186014,100
1569,743876,58
1570,746409,40
1571,6311321,8
1572,3743849,3
1573,11088,17
1574,103100,28
1575,3621275,4
1576,1148140,1
1577,793801,3
1578,439829,16
1579,1090259,24
1580,118980,10
1581,5516171,2
1582,6717166,153
1583,6485609,48
1584,35975,48
1585,718828,91
1586,4801628,1
1587,820212,2
1588,2771175,25
1589,10502717,5
1590,796099,70
1591,33685,53
1592,1306793,69
1593,6,193
1594,713924,160
1595,4619201,10
1596,506784,11
1597,38677,113
1598,115918,6
1599,941878,5
1600,4303,71
1601,7096288,49
1602,2130099,5
1603,5055259,202
1604,27546,1
1605,1354285,48
1606,3024898,2
1607,6373,6
1608,331698,132
1609,7503,69
1610,330438,30
1611,1055,2
1612,5367,62
1613,6700566,10
1614,4882173,4
1615,6891240,216
1616,792419,3
1617,23625,17
1618,9139905,3
1619,109549,760
1620,5318,1
1621,22309,246
1622,3762668,6
1623,486723,409
1624,6828726,1
1625,100377,93
1626,318539,57
1627,276777,1
1628,222775,9
1629,6891774,2
1630,3069,126
1631,66034,51
1632,120925,575
1633,8554013,19
1634,916751,6
1635,8551205,85
1636,3525387,8
1637,168996,133
1638,4249418,104
1639,74937,2
1640,194468,1
1641,7092469,85
1642,6578625,10
1643,41783,40
1644,4541573,21
1645,9042284,6
1646,22775,199
1647,8872925,2
1648,7154598,10
1649,1048357,179
1650,6797386,4
1651,10008776,24
1652,9475415,4
1653,6701436,2
1654,2323156,4
1655,88699,136
1656,6670850,225
1657,9443013,25
1658,5282088,5
1659,10063067,3
1660,2758164,4
1661,2597678,74
1662,3494617,201
1663,34624,2905
1664,2443126,5
1665,808900,87
1666,126986,15
1667,66021,120
1668,33245,33
1669,3766350,4
1670,397092,203
1671,7988282,11
1672,549539,1
1673,553431,3
1674,44150,1008
1675,457426,95
1676,690928,13
1677,5404636,10
1678,1123,98
1679,8823185,10
1680,7103012,29
1681,7367945,18
1682,3192981,7
1683,876998,2
1684,24017,200
1685,8883096,7
1686,120128,1
1687,10502718,7
1688,131459,232
1689,33975,29
1690,7830016,69
1691,4194648,45
1692,163631,9
1693,2488315,50
1694,715503,7
1695,95405,19
1696,3914390,14
1697,2758,4
1698,1682699,35
1699,40010,215
1700,8715671,9
1701,1058138,13
1702,10946050,5
1703,17022,27
1704,1384424,16
1705,9807167,4
1706,397121,1
1707,82611,5
1708,8278585,14
1709,31353,79
1710,7007932,14
1711,9991062,2
1712,9367674,7
1713,6390,158
1714,4062917,15
1715,3344545,125
1716,4737855,18
1717,8069,11
1718,3623892,12
1719,80800,161
1720,269155,12
1721,3386496,33
1722,1004094,1
1723,13926,1069
1724,56485,3
1725,4741401,20
1726,813036,16
1727,8359294,1
1728,735267,62
1729,7758329,117
1730,5047946,13
1731,10343184,61
1732,120408,93
1733,1504165,101
1734,4445815,3
1735,6617,55
1736,23,88
1737,4532299,5
1738,10116775,1
1739,9649346,15
1740,109046,251
1741,5026423,17
1742,92741,32
1743,4757665,13
1744,1344215,13
1745,3303803,1
1746,5055282,18
1747,6523816,28
